HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),Volume Change since 2025-04-29 (af)
Upper Rio Grande,Rio Chama,7000-8000',0.0,0.07038453966379166,4890.163251032881,4890.163
Upper Rio Grande,Rio Chama,8000-9000',0.7086527943611145,0.7519804239273071,26030.06404894679,25898.73
Upper Rio Grande,Rio Chama,9000-10000',1.4960448741912842,1.5289835929870605,31610.947389806766,29354.76
Upper Rio Grande,Rio Chama,10000-11000',1.7322624921798706,2.745088577270508,30750.789147050655,13233.921
Upper Rio Grande,Rio Chama,11000-12000',7.125897407531738,6.891698360443115,5534.671735801888,599.10944
Upper Rio Grande,Rio Chama,12000-13000',7.637702465057373,7.637702465057373,314.5529169915043,35.67095
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,7000-8000',0.0,0.004963364917784929,83.50245239748565,83.50245
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,8000-9000',0.0787392109632492,0.14637860655784607,684.2336799801068,684.2337
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,9000-10000',0.9251856207847595,0.8640948534011841,1032.0254019738925,1032.0254
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,10000-11000',1.830686330795288,1.6896120309829712,417.5122619874283,417.51227
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,11000-12000',2.106273651123047,2.1161160469055176,174.30123215507095,174.30124
Rio Grande-Elephant Butte,Jemez,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jemez,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jemez,7000-8000',0.0,0.0002590105577837676,1.6214070005614851,1.621407
Rio Grande-Elephant Butte,Jemez,8000-9000',0.0787392109632492,0.14874190092086792,2180.792355920141,2180.7922
Rio Grande-Elephant Butte,Jemez,9000-10000',0.7480224370956421,0.871532142162323,4971.233397928608,4971.2334
Rio Grande-Elephant Butte,Jemez,10000-11000',1.338566541671753,1.4139550924301147,1368.4673599602136,1368.4674
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,4000-5000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,7000-8000',0.0,0.0004000976332463324,4.053517654826936,4.053518
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,8000-9000',0.0,0.006244834046810865,18.64618096672675,18.646181
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,9000-10000',0.0,0.007681874092668295,6.4856280022459405,6.485628
Rio Grande-Elephant Butte,Rio Grande-Albuquerque,10000-11000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Arroyo Chico,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Arroyo Chico,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Arroyo Chico,7000-8000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Arroyo Chico,8000-9000',0.0,0.001373358303681016,7.296331655949907,7.296332
Rio Grande-Elephant Butte,Arroyo Chico,9000-10000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Arroyo Chico,10000-11000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,North Plains,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,North Plains,7000-8000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,North Plains,8000-9000',0.0,0.0013391022803261876,4.053517654826936,4.053518
Rio Grande-Elephant Butte,Rio San Jose,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio San Jose,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio San Jose,7000-8000',0.0,0.0002877193910535425,14.592662084514027,14.592662
